Station Code, RoadNo, Lat, Lon
BAY,R2,15.14767,76.926453
BAY,R2,15.147651,76.926427
BAY,R2,15.147631,76.926401
BAY,R2,15.147613,76.926375
BAY,R2,15.147594,76.926349
BAY,R2,15.147576,76.926323
BAY,R2,15.147557,76.926297
BAY,R2,15.14754,76.926271
BAY,R2,15.147522,76.926244
BAY,R2,15.147505,76.926219
BAY,R2,15.147487,76.926193
BAY,R2,15.147469,76.926167
BAY,R2,15.147452,76.926141
BAY,R2,15.147435,76.926115
BAY,R2,15.147418,76.926089
BAY,R2,15.1474,76.926064
BAY,R2,15.147382,76.926038
BAY,R2,15.147364,76.926013
BAY,R2,15.147347,76.925987
BAY,R2,15.14733,76.92596
BAY,R2,15.147313,76.925933
BAY,R2,15.147295,76.925907
BAY,R2,15.147277,76.92588
BAY,R2,15.14726,76.925853
BAY,R2,15.147242,76.925826
BAY,R2,15.147223,76.925801
BAY,R2,15.147205,76.925773
BAY,R2,15.147187,76.925746
BAY,R2,15.147169,76.925718
BAY,R2,15.14715,76.92569
BAY,R2,15.147132,76.925662
BAY,R2,15.147113,76.925633
BAY,R2,15.147094,76.925604
BAY,R2,15.147075,76.925575
BAY,R2,15.147056,76.925547
BAY,R2,15.147037,76.925518
BAY,R2,15.147018,76.925489
BAY,R2,15.147,76.925459
BAY,R2,15.14698,76.92543
BAY,R2,15.146961,76.925401
BAY,R2,15.146941,76.925371
BAY,R2,15.146922,76.925341
BAY,R2,15.146902,76.925312
BAY,R2,15.146883,76.925282
BAY,R2,15.146863,76.925253
BAY,R2,15.146843,76.925225
BAY,R2,15.146824,76.925196
BAY,R2,15.146805,76.925166
BAY,R2,15.146785,76.925136
BAY,R2,15.146766,76.925106
BAY,R2,15.146745,76.925075
BAY,R2,15.146724,76.925045
BAY,R2,15.146703,76.925015
BAY,R2,15.146682,76.924984
BAY,R2,15.146662,76.924953
BAY,R2,15.146642,76.924922
BAY,R2,15.146621,76.924891
BAY,R2,15.1466,76.92486
BAY,R2,15.146579,76.92483
BAY,R2,15.146558,76.924798
BAY,R2,15.146538,76.924768
BAY,R2,15.146518,76.924736
BAY,R2,15.146498,76.924705
BAY,R2,15.146477,76.924674
BAY,R2,15.146457,76.924643
BAY,R2,15.146436,76.924612
BAY,R2,15.146415,76.92458
BAY,R2,15.146396,76.924549
BAY,R2,15.146376,76.924518
BAY,R2,15.146357,76.924487
BAY,R2,15.146337,76.924456
BAY,R2,15.146319,76.924426
BAY,R2,15.1463,76.924395
BAY,R2,15.14628,76.924365
BAY,R2,15.14626,76.924334
BAY,R2,15.14624,76.924306
BAY,R2,15.146221,76.924277
BAY,R2,15.146205,76.924249
BAY,R2,15.146187,76.92422
BAY,R2,15.146167,76.924189
BAY,R2,15.146144,76.924158
BAY,R2,15.146122,76.924127
BAY,R2,15.146102,76.924097
BAY,R2,15.146081,76.924068
BAY,R2,15.146061,76.92404
BAY,R2,15.146041,76.924013
BAY,R2,15.146025,76.923988
BAY,R2,15.146009,76.923963
BAY,R2,15.145991,76.923939
BAY,R2,15.145976,76.923919
BAY,R2,15.145962,76.923901
BAY,R2,15.145948,76.92388
BAY,R2,15.145932,76.92386
BAY,R2,15.145912,76.92384
BAY,R2,15.14589,76.923816
BAY,R2,15.145867,76.923789
BAY,R2,15.145847,76.923764
BAY,R2,15.145824,76.923741
BAY,R2,15.145803,76.923718
BAY,R2,15.145783,76.923693
BAY,R2,15.145764,76.923664
BAY,R2,15.145744,76.923636
BAY,R2,15.145722,76.923611
BAY,R2,15.145702,76.923585
BAY,R2,15.145682,76.923559
BAY,R2,15.145659,76.923532
BAY,R2,15.145637,76.9235
BAY,R2,15.145614,76.923471
BAY,R2,15.145593,76.923445
BAY,R2,15.145573,76.923418
BAY,R2,15.145551,76.923391
BAY,R2,15.14553,76.923365
BAY,R2,15.14551,76.923343
BAY,R2,15.145491,76.923318
BAY,R2,15.145473,76.923292
BAY,R2,15.145447,76.923267
BAY,R2,15.145417,76.923247
